precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-voturi"
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ IEDERA DE JOS",273,IEDERA,65869,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:06:16",1229,1227,0,2,0,668,666,0,2,0,614,54,1344,676,170,16,240,14,142,10,2,2,18,0
16,DÂMBOVIŢA,"SCOALA GIMNAZIALA ION CONSTANTINESCU VIISOARA",398,ULMI,65501,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:03:55",1173,1169,0,4,0,686,682,0,4,0,654,32,1276,590,97,7,453,9,45,17,7,8,11,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ ION HARALMBIE VALEA LUNGĂ GORGOTA",403,"VALEA LUNGĂ",69063,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:06:05",1022,1021,0,1,0,524,523,0,1,0,495,29,1140,616,187,14,226,11,39,6,6,2,4,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ JUGURENI",394,ULIEŞTI,68976,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:58:35",1257,1254,0,3,0,879,876,0,3,0,834,45,1370,491,476,31,110,6,179,25,1,4,1,1
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ LUCIANCA",165,BUTIMANU,101564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:13:08",458,420,1,37,0,343,306,0,37,0,324,19,464,121,218,8,66,2,23,2,1,1,3,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ MALU CU FLORI, NR. 139BIS",288,"MALU CU FLORI",67942,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:20:57",1161,1114,0,9,38,843,796,0,9,38,786,57,1266,423,255,94,297,28,69,27,16,0,0,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ MALURI",114,"ORAŞ PUCIOASA",65921,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:31:01",97,93,0,4,0,47,43,0,4,0,45,2,100,53,7,2,20,10,3,0,0,0,3,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ MĂNEȘTI",290,MĂNEŞTI,68002,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:48:36",1097,1085,2,3,7,619,607,2,3,7,578,41,1210,591,137,19,347,15,42,1,6,5,5,1
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” PUCIOASA",105,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:23:37",1039,1027,3,9,0,450,441,0,9,0,441,9,1140,690,193,8,167,14,20,7,4,3,25,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” PUCIOASA",106,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:13:18",1185,1160,9,14,2,521,505,0,14,2,486,35,1290,769,185,9,214,19,12,7,5,4,27,4
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ „ NICOLAE VLAD „",351,PUCHENI,68565,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:10:36",1282,1236,0,7,39,944,898,0,7,39,845,99,1406,462,194,46,304,12,248,5,5,9,19,3
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR.1",92,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:52:58",917,912,0,4,1,455,450,0,4,1,430,25,1017,562,205,6,145,22,27,2,3,6,13,1
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR.1",93,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:10:35",874,864,3,6,1,436,429,0,6,1,415,21,950,514,181,10,137,10,51,6,1,3,16,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR. 1 GHIRDOVENI",268,"I. L. CARAGIALE",67737,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:13:53",1478,1470,1,2,5,741,734,0,2,5,682,59,1643,902,227,25,237,5,131,28,5,6,16,2
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR. 1 HULUBEȘTI",264,HULUBEŞTI,67675,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:22:41",667,662,0,5,0,438,433,0,5,0,417,21,730,292,106,62,147,4,60,2,5,2,28,1
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR. 1 LUNGULEŢU",286,LUNGULEŢU,67906,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:07:05",1411,1406,0,3,2,981,976,0,3,2,871,110,1554,573,370,52,140,4,289,3,1,3,6,3
