precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG (AMT - EMSZ)-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL",239,NUŞFALĂU,142239,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:38:39",333,319,0,8,6,163,149,0,8,6,153,10,400,237,9,8,1,1,1,122,4,0,1,6
33,SĂLAJ,"CĂMINUL CULTURAL BOCȘIȚA",173,HERECLEAN,141376,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:04:44",74,59,0,12,3,47,32,0,12,3,39,8,70,23,9,11,1,0,3,11,0,0,3,1
33,SĂLAJ,"CĂMINUL CULTURAL BOZIEŞ",97,BOGHIŞ,180037,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:52:23",210,197,0,5,8,144,131,0,5,8,136,8,228,84,4,5,0,0,1,118,7,0,0,1
33,SĂLAJ,"CĂMINUL CULTURAL BRÎGLEZ",279,SURDUC,142774,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:03:43",260,202,0,44,14,211,153,0,44,14,206,5,241,30,93,83,5,2,11,1,0,2,6,3
33,SĂLAJ,"CĂMINUL CULTURAL CERNUC",164,GÂRBOU,141232,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:34:11",160,145,0,12,3,94,79,0,12,3,73,6,164,85,24,22,6,4,3,3,0,5,5,1
33,SĂLAJ,"CĂMINUL CULTURAL CRISTOLȚ",127,CRISTOLŢ,140770,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:18:29",550,497,0,15,38,400,347,0,15,38,378,22,540,140,119,122,7,13,81,7,0,25,4,0
33,SĂLAJ,"CAMINUL CULTURAL CRISTUR-CRISENI",132,CRIŞENI,140823,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:59:58",432,420,0,6,6,233,221,0,6,6,225,8,470,237,15,51,0,0,5,147,1,1,4,1
33,SĂLAJ,"CĂMINUL CULTURAL DIN MESEŞENII DE JOS",226,"MESEŞENII DE JOS",142079,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:04:45",610,544,0,51,15,442,376,0,51,15,411,31,595,153,125,21,10,11,9,218,2,2,7,6
33,SĂLAJ,"CĂMINUL CULTURAL DOBA",141,DOBRIN,140958,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:32:05",268,262,0,4,2,145,139,0,4,2,135,10,295,150,4,6,2,1,2,114,5,1,0,0
33,SĂLAJ,"CĂMINUL CULTURAL DOLU",310,ZIMBOR,143147,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:25:10",53,43,0,10,0,34,24,0,10,0,33,1,50,16,9,12,2,1,4,1,1,1,1,1
33,SĂLAJ,"CĂMINUL CULTURAL FĂGETU",248,PLOPIŞ,142337,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:37:48",521,507,0,6,8,250,236,0,6,8,216,34,594,344,40,128,5,2,5,8,0,10,11,7
33,SĂLAJ,"CĂMINUL CULTURAL FILDU DE MIJLOC",150,"FILDU DE JOS",141081,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:30:46",322,307,0,12,3,228,213,0,12,3,205,23,338,110,94,86,4,2,6,1,1,3,4,4
